10	124977.449988	3340.299090
4220	-nan(ind)	-nan(ind)
4230	-nan(ind)	-nan(ind)
4240	-nan(ind)	-nan(ind)
4250	-nan(ind)	-nan(ind)
4260	-nan(ind)	-nan(ind)
4270	-nan(ind)	-nan(ind)
4280	-nan(ind)	-nan(ind)
4290	-nan(ind)	-nan(ind)
4300	-nan(ind)	-nan(ind)
4310	-nan(ind)	-nan(ind)
4320	-nan(ind)	-nan(ind)
4330	-nan(ind)	-nan(ind)
4340	-nan(ind)	-nan(ind)
4350	-nan(ind)	-nan(ind)
4360	-nan(ind)	-nan(ind)
4370	-nan(ind)	-nan(ind)
4380	-nan(ind)	-nan(ind)
4390	-nan(ind)	-nan(ind)
4400	-nan(ind)	-nan(ind)
4410	-nan(ind)	-nan(ind)
4420	-nan(ind)	-nan(ind)
4430	-nan(ind)	-nan(ind)
4440	-nan(ind)	-nan(ind)
4450	-nan(ind)	-nan(ind)
4460	-nan(ind)	-nan(ind)
4470	-nan(ind)	-nan(ind)
4480	-nan(ind)	-nan(ind)
4490	-nan(ind)	-nan(ind)
4500	-nan(ind)	-nan(ind)
4510	-nan(ind)	-nan(ind)
4520	-nan(ind)	-nan(ind)
4530	-nan(ind)	-nan(ind)
4540	-nan(ind)	-nan(ind)
4550	-nan(ind)	-nan(ind)
4560	-nan(ind)	-nan(ind)
4570	-nan(ind)	-nan(ind)
4580	-nan(ind)	-nan(ind)
4590	-nan(ind)	-nan(ind)
4600	-nan(ind)	-nan(ind)
4610	-nan(ind)	-nan(ind)
4620	-nan(ind)	-nan(ind)
4630	-nan(ind)	-nan(ind)
4640	-nan(ind)	-nan(ind)
4650	-nan(ind)	-nan(ind)
4660	-nan(ind)	-nan(ind)
4670	-nan(ind)	-nan(ind)
4680	-nan(ind)	-nan(ind)
4690	-nan(ind)	-nan(ind)
4700	-nan(ind)	-nan(ind)
4710	-nan(ind)	-nan(ind)
4720	-nan(ind)	-nan(ind)
4730	-nan(ind)	-nan(ind)
4740	-nan(ind)	-nan(ind)
4750	-nan(ind)	-nan(ind)
4760	-nan(ind)	-nan(ind)
4770	-nan(ind)	-nan(ind)
4780	-nan(ind)	-nan(ind)
4790	-nan(ind)	-nan(ind)
4800	-nan(ind)	-nan(ind)
4810	-nan(ind)	-nan(ind)
4820	-nan(ind)	-nan(ind)
4830	-nan(ind)	-nan(ind)
4840	-nan(ind)	-nan(ind)
4850	-nan(ind)	-nan(ind)
4860	-nan(ind)	-nan(ind)
4870	-nan(ind)	-nan(ind)
4880	-nan(ind)	-nan(ind)
4890	-nan(ind)	-nan(ind)
4900	-nan(ind)	-nan(ind)
4910	-nan(ind)	-nan(ind)
4920	-nan(ind)	-nan(ind)
4930	-nan(ind)	-nan(ind)
4940	-nan(ind)	-nan(ind)
4950	-nan(ind)	-nan(ind)
4960	-nan(ind)	-nan(ind)
4970	-nan(ind)	-nan(ind)
4980	-nan(ind)	-nan(ind)
4990	-nan(ind)	-nan(ind)
5000	-nan(ind)	-nan(ind)
5010	-nan(ind)	-nan(ind)
5020	-nan(ind)	-nan(ind)
5030	-nan(ind)	-nan(ind)
5040	-nan(ind)	-nan(ind)
5050	-nan(ind)	-nan(ind)
5060	-nan(ind)	-nan(ind)
5070	-nan(ind)	-nan(ind)
5080	-nan(ind)	-nan(ind)
5090	-nan(ind)	-nan(ind)
5100	-nan(ind)	-nan(ind)
5110	-nan(ind)	-nan(ind)
5120	-nan(ind)	-nan(ind)
5130	-nan(ind)	-nan(ind)
5140	-nan(ind)	-nan(ind)
5150	-nan(ind)	-nan(ind)
5160	-nan(ind)	-nan(ind)
5170	-nan(ind)	-nan(ind)
5180	-nan(ind)	-nan(ind)
5190	-nan(ind)	-nan(ind)
5200	-nan(ind)	-nan(ind)
5210	-nan(ind)	-nan(ind)
5220	-nan(ind)	-nan(ind)
5230	-nan(ind)	-nan(ind)
5240	-nan(ind)	-nan(ind)
5250	-nan(ind)	-nan(ind)
5260	-nan(ind)	-nan(ind)
5270	-nan(ind)	-nan(ind)
5280	-nan(ind)	-nan(ind)
